0,1,2,3,4,5,6,7,8
18,Sprendimas,"Priėmė
                                    
                                        Visagino savivaldybės taryba",Identifikacinis kodas 2024-11369,TS-113,2024-06-20,2024-06-21,,
19,Sprendimas,"Priėmė
                                    
                                        Visagino savivaldybės taryba",Identifikacinis kodas 2024-11368,TS-110,2024-06-20,2024-06-21,,
20,Sprendimas,"Priėmė
                                    
                                        Visagino savivaldybės taryba",Identifikacinis kodas 2024-11367,TS-108,2024-06-20,2024-06-21,,
,,,,,,,,
1,Susitarimas,"Priėmė
                                    
                                        Tarptautinius dokumentus pasirašiusios šalys",Identifikacinis kodas 2024-05011,,2023-11-24,2024-03-20,,"Susitarimo 10 straipsnio 1 dalis: ""Šis Susitarimas įsigalioja tą dieną, kai gaunamas paskutinis rašytinis pranešimas, kuriuo Šalys diplomatiniais kanalais informuoja viena kitą, kad visos šiam Susitarimui įsigalioti būtinos jų vidaus teisinės procedūros yra atliktos."""
2,Sutartis,"Priėmė
                                    
                                        Tarptautinius dokumentus pasirašiusios šalys",Identifikacinis kodas 2024-03603,,2021-09-14,2024-02-27,,"Sutarties 12 str. 3 d. ""Ši Sutartis įsigalioja pirmą trečio mėnesio, einančio po to, kai depozitaras gauna paskutinį ratifikavimo, priėmimo ar patvirtinimo dokumentą, dieną. Depozitaras informuoja visas Šalis apie šios Sutarties įsigaliojimo datą."""
,,,,,,,,
1,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11334,2024-06-12 Nr. AB-9424-3-61-3-09549-2022-6,2024-06-12,2024-06-21,,
2,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11333,2024-06-12 Nr. AB-9493-3-61-3-00142-2022-6,2024-06-12,2024-06-21,,
3,Sprendimas,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11332,2024-06-12 Nr. AB-9473-3-61-3-00183-2024-3,2024-06-12,2024-06-21,,
4,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11331,2024-06-12 Nr. AB-9482-3-61-3-01897-2022-4,2024-06-12,2024-06-21,,
5,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11330,2024-06-12 Nr. AB-9512-3-65-3-00133-2022-0,2024-06-12,2024-06-21,,
6,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11329,2024-06-13 Nr. BB-3273-1-01-1-45511-2020-3,2024-06-13,2024-06-21,,
7,Sprendimas,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11328,2024-06-12 Nr. AB-9443-3-61-3-09957-2023-0,2024-06-12,2024-06-21,,
8,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11327,2024-06-12 Nr. AB-9436-3-61-3-00701-2024-9,2024-06-12,2024-06-21,,
9,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11326,2024-06-13 Nr. CB-3926-2-19-3-00985-2020-1,2024-06-13,2024-06-21,,
10,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11325,2024-06-12 Nr. AB-9509-3-64-3-02028-2023-5,2024-06-12,2024-06-21,,
11,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11324,2024-06-12 Nr. AB-9422-3-64-3-02321-2023-1,2024-06-12,2024-06-21,,
12,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11323,2024-06-12 Nr. AB-9413-3-61-3-10089-2022-7,2024-06-12,2024-06-21,,
13,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11322,2024-06-13 Nr. BB-3286-1-01-1-00923-2023-4,2024-06-13,2024-06-21,,
14,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11321,2024-06-12 Nr. AB-9425-3-61-3-00024-2024-7,2024-06-12,2024-06-21,,
15,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11320,2024-06-13 Nr. CB-3920-2-55-3-01140-2021-6,2024-06-13,2024-06-21,,
16,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11319,2024-06-13 Nr. CB-3919-2-68-3-10969-2023-1,2024-06-13,2024-06-21,,
17,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11318,2024-06-13 Nr. ANB-607-4-70-3-00005-2024-7,2024-06-13,2024-06-21,,
18,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11317,2024-06-12 Nr. AB-9498-3-61-3-00261-2022-8,2024-06-12,2024-06-21,,
19,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11316,2024-06-12 Nr. AB-9406-3-61-3-09767-2022-8,2024-06-12,2024-06-21,,
20,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11315,2024-06-12 Nr. AB-9497-3-61-3-02359-2022-8,2024-06-12,2024-06-21,,
